     Group.1 Group.2          x
809       ae       w  0.0088595
810       ao       w  0.0067575
811       ax       w  0.0113460
812       ay       w  0.0026205
813        d       w -0.0020000
814       eh       w  0.0064240
815       er       w  0.0279965
816       ey       w -0.0086950
817        f       w  0.0036365
818        g       w  0.0080000
819       h#       w  0.0170000
820       hh       w -0.0232390
821       ih       w -0.0019560
822       iy       w -0.0046780
823        k       w  0.0121870
824        l       w -0.0124960
825        m       w  0.0149380
826       ng       w -0.0030980
827       ow       w -0.0004570
828        r       w -0.0002605
829        s       w  0.0063620
830        t       w  0.0198955
831       uh       w  0.0064940
832       uw       w  0.0015280
833       aa       w -0.0078810
834       ah       w -0.0015140
835        b       w -0.0125000
836       ch       w -0.0010910
837        n       w  0.0044520
838        z       w -0.0014930
839       aw       w  0.0081860
840       ae      aa  0.0915000
841       ax      aa  0.0419520
842       ay      aa  0.0162990
843        d      aa -0.0125840
844       dh      aa -0.0229530
845       eh      aa -0.0120945
846       er      aa  0.0433870
847       ey      aa  0.0027380
848        f      aa  0.0123860
849        g      aa -0.0151250
850       h#      aa  0.0168460
851       hh      aa -0.0057740
852       iy      aa  0.0126810
853        k      aa  0.0033900
854        l      aa -0.0130000
855        m      aa -0.0133990
856       ng      aa  0.0016460
857       ow      aa -0.0120000
858        p      aa  0.0143670
859        r      aa -0.0097410
860        s      aa  0.0004360
861        t      aa -0.0030000
862        w      aa -0.0254230
863       aa      aa  0.0029435
864        b      aa  0.0079040
865       ch      aa -0.0123790
866        n      aa -0.0004080
867        v      aa  0.0099235
868        y      aa  0.0023130
869        z      aa -0.0085240
870       jh      aa -0.0483845
871       ae      ah -0.0695105
872       ao      ah -0.0220740
873       ax      ah  0.0262685
874       ay      ah  0.1223880
875        d      ah -0.0040620
876       dh      ah -0.0200020
877       eh      ah -0.0088895
878       er      ah -0.0278620
879        f      ah -0.0125090
880        g      ah  0.0049115
881       h#      ah  0.0270000
882       hh      ah -0.0081100
883       ih      ah  0.0385290
884       iy      ah -0.0126140
885        k      ah -0.0037810
886        l      ah -0.0213385
887        m      ah -0.0172160
888       ng      ah -0.0062970
889       ow      ah -0.0343550
890        p      ah -0.0000685
891        r      ah  0.0068430
892        s      ah  0.0077460
893       sh      ah -0.0082840
894        t      ah  0.0017980
895       th      ah -0.0130000
896       uh      ah  0.0175530
897       uw      ah -0.0374230
898        w      ah -0.0269510
899       aa      ah -0.0204405
900        b      ah -0.0021030
901       ch      ah  0.0139600
902        n      ah -0.0143150
903        v      ah  0.0029000
904        y      ah  0.0049405
905       jh      ah -0.0175470
906       ae       b -0.0086210
907       ax       b -0.0030000
908       ay       b -0.0002320
909        d       b  0.0180000
910       eh       b  0.0064015
911       er       b -0.0078985
912       ey       b -0.0150575
913        f       b -0.0594325
914       h#       b  0.0173285
915       ih       b -0.0043430
916       iy       b -0.0184950
917        l       b -0.0065020
918        m       b  0.0068565
919       ng       b  0.0054770
920       ow       b -0.0099355
921        p       b  0.0122750
922        r       b -0.0069970
923        s       b -0.0120000
924        t       b -0.0018330
925       uh       b  0.0102060
926       uw       b  0.0073190
927       aa       b  0.0051040
928       ah       b  0.0051390
929        b       b  0.0193930
930        n       b -0.0116810
931        v       b -0.0263630
932        z       b -0.0181210
933       aw       b  0.0182340
934       ax      ch -0.0039525
935        d      ch -0.0026380
936       er      ch -0.0027410
937        f      ch  0.0078430
938       ih      ch -0.0004650
939       iy      ch -0.0193080
940       ng      ch -0.0015010
941        r      ch  0.0052020
942        s      ch -0.0239340
943       sh      ch  0.0116540
944        t      ch -0.0256370
945       uh      ch  0.0119950
946       ah      ch -0.0009135
947        n      ch -0.0069310
948       ae       n  0.0033890
949       ao       n  0.0025590
950       ax       n  0.0070690
951       ay       n -0.0007070
952        d       n -0.0108210
953       eh       n  0.0071095
954       er       n -0.0103905
955       ey       n  0.0014790
956       h#       n  0.0195730
957       hh       n  0.0088950
958       ih       n  0.0029020
959       iy       n  0.0009950
960        k       n -0.0121695
961        l       n  0.0148990
962        m       n -0.0113400
963       ng       n  0.0474360
964       ow       n -0.0000980
965        r       n -0.0025630
966        s       n -0.0044760
967       sh       n  0.0203810
968        t       n -0.0098540
969       uh       n -0.0031225
970       uw       n -0.0006015
971       aa       n  0.0027755
972       ah       n -0.0030000
973       ch       n -0.0083270
974        n       n -0.0022870
975        v       n -0.0320000
976        y       n  0.0090380
977        z       n -0.0091660
978       oy       n  0.0071970
979       aw       n  0.0037715
980       ae       v  0.0078475
981       ao       v  0.0080000
982       ax       v  0.0033830
983       ay       v  0.0141040
984        d       v -0.0191620
985       eh       v  0.0109830
986       er       v  0.0190215
987       ey       v -0.0044580
988        f       v  0.1425540
989       h#       v  0.0086990
990       ih       v -0.0016870
991       iy       v -0.0048135
992        l       v  0.0006375
993        m       v -0.0340550
994       ow       v -0.0006170
995        r       v -0.0168830
996        s       v  0.0535360
997        t       v  0.0135060
998       uh       v -0.0016520
999       uw       v -0.0039390
1000      aa       v  0.0009830
1001      ah       v  0.0022840
1002       z       v  0.1535830
1003      ax       y  0.0475430
1004      ay       y  0.0067580
1005       d       y  0.0164450
1006      dh       y  0.0583010
1007      er       y  0.0352500
1008      ey       y  0.0155010
1009       f       y  0.0194570
1010      h#       y  0.0215700
1011      ih       y  0.0258490
1012      iy       y  0.0343310
1013       k       y  0.0292705
1014       m       y  0.0156090
1015      ng       y  0.0473570
1016      ow       y  0.0030130
1017       r       y -0.0055735
1018       s       y  0.0410970
1019       t       y -0.0020000
1020      th       y  0.0278625
1021      uh       y -0.0061320
1022      ah       y  0.0250520
1023       n       y  0.0208485
1024       v       y  0.0345785
1025       y       y  0.0126340
1026      oy       y  0.0170000
1027      jh       y  0.0477890
1028      ae       z -0.0188670
1029      ao       z  0.0040815
1030      ax       z -0.0146440
1031      ay       z  0.0241150
1032       d       z -0.0090775
1033      er       z -0.0109090
1034      ey       z  0.0080000
1035       g       z -0.0577540
1036      ih       z  0.0125270
1037      iy       z  0.0025210
1038       k       z -0.0137400
1039       l       z -0.0175660
1040       m       z -0.0085640
1041      ng       z -0.0013390
1042      ow       z -0.0086390
1043       r       z -0.0071495
1044       s       z -0.0037600
1045       t       z -0.0445230
1046      uh       z  0.0151680
1047      uw       z -0.0042290
1048       w       z  0.0207035
1049      ah       z -0.0060525
1050       b       z -0.0110770
1051       n       z -0.0145020
1052       v       z  0.0096935
1053       z       z -0.0401440
1054       f      oy -0.0100440
1055       p      oy -0.0125480
1056       b      oy -0.0071040
1057      jh      oy -0.0130000
1058      ae      aw -0.0058080
1059      ay      aw  0.0009800
1060       d      aw -0.0023420
1061      eh      aw  0.1116060
1062      er      aw -0.0020000
1063      h#      aw  0.2271795
1064      hh      aw -0.0037760
1065       k      aw -0.0030000
